date,value
2014-01-01,132056990.0
2014-02-01,121688438.0
2014-03-01,124724746.0
2014-04-01,112057243.0
2014-05-01,116035410.0
2014-06-01,117067589.0
2014-07-01,126668956.0
2014-08-01,121480333.0
2014-09-01,121899274.0
2014-10-01,118676303.0
2014-11-01,119026375.0
2014-12-01,128016794.0
2015-01-01,136254243.0
2015-02-01,126308303.0
2015-03-01,126951414.0
2015-04-01,113029924.0
2015-05-01,118735977.0
2015-06-01,121989371.0
2015-07-01,140818757.0
2015-08-01,125051385.0
2015-09-01,117201799.0
2015-10-01,118801169.0
2015-11-01,119575544.0
2015-12-01,125273924.0
2016-01-01,129416873.0
2016-02-01,125389516.0
2016-03-01,128886049.0
2016-04-01,119745301.0
2016-05-01,118098341.0
2016-06-01,121236351.0
2016-07-01,133583469.0
2016-08-01,128852680.0
2016-09-01,125143087.0
2016-10-01,119379044.0
2016-11-01,123860286.0
2016-12-01,128278344.0
2017-01-01,138517280.0
2017-02-01,119489614.0
2017-03-01,126181927.0
2017-04-01,113004266.0
2017-05-01,120986966.0
2017-06-01,130182706.0
2017-07-01,134682743.0
2017-08-01,131000062.0
2017-09-01,121481831.0
2017-10-01,121463452.0
2017-11-01,125662068.0
2017-12-01,133618249.0
2018-01-01,136196767.0
2018-02-01,128387684.0
2018-03-01,133011439.0
2018-04-01,119589304.0
2018-05-01,120402785.0
2018-06-01,122076694.0
2018-07-01,133768628.0
2018-08-01,132693015.0
2018-09-01,125074038.0
2018-10-01,122596593.0
2018-11-01,125798641.0
2018-12-01,127597703.0
2019-01-01,140499353.0
2019-02-01,121294898.0
2019-03-01,124695553.0
2019-04-01,117355732.0
2019-05-01,119460448.0
2019-06-01,120284347.0
2019-07-01,136680952.0
2019-08-01,128183948.0
2019-09-01,120147200.0
2019-10-01,121380217.0
2019-11-01,124938536.0
2019-12-01,124479592.0
2020-01-01,136245314.0
2020-02-01,119705433.0
2020-03-01,119073699.0
2020-04-01,97557758.0
2020-05-01,104873485.0
2020-06-01,110791725.0
2020-07-01,132338897.0
2020-08-01,125083657.0
2020-09-01,116977670.0
2020-10-01,118106162.0
2020-11-01,118559520.0
2020-12-01,127818422.0
2021-01-01,137622023.0
2021-02-01,115952775.0
2021-03-01,125109453.0
2021-04-01,113705704.0
2021-05-01,115825967.0
2021-06-01,118353376.0
2021-07-01,130518722.0
2021-08-01,125111628.0
2021-09-01,118590191.0
2021-10-01,114687519.0
2021-11-01,122396779.0
2021-12-01,125184062.0
