date,hour,value
01/04/2014,0,92.75
01/04/2014,1,86.46
01/04/2014,2,78.82
01/04/2014,3,77.47
01/04/2014,4,76.9
01/04/2014,5,77.15
01/04/2014,6,84.6
01/04/2014,7,87.41
01/04/2014,8,95.66
01/04/2014,9,97.81
01/04/2014,10,100.3
01/04/2014,11,96.38
01/04/2014,12,88.96
01/04/2014,13,91.07
01/04/2014,14,86.26
01/04/2014,15,84.13
01/04/2014,16,78.55
01/04/2014,17,81.22
01/04/2014,18,77.78
01/04/2014,19,84.49
01/04/2014,20,96.39
01/04/2014,21,97.28
01/04/2014,22,87.28
01/04/2014,23,87.47
02/04/2014,0,87.09
02/04/2014,1,81.44
02/04/2014,2,78.36
02/04/2014,3,82.98
02/04/2014,4,80.98
02/04/2014,5,87.61
02/04/2014,6,97.07
02/04/2014,7,100.65
02/04/2014,8,106.86
02/04/2014,9,111.9
02/04/2014,10,111.94
02/04/2014,11,111.72
02/04/2014,12,109.4
02/04/2014,13,105.71
02/04/2014,14,102.53
02/04/2014,15,102.72
02/04/2014,16,102.15
02/04/2014,17,104.16
02/04/2014,18,104.8
02/04/2014,19,108.53
02/04/2014,20,112.07
02/04/2014,21,127.73
02/04/2014,22,119.1
02/04/2014,23,105.84
03/04/2014,0,101.08
03/04/2014,1,97.52
03/04/2014,2,96.2
03/04/2014,3,97.08
03/04/2014,4,92.58
03/04/2014,5,91.34
03/04/2014,6,100.09
03/04/2014,7,109.59
03/04/2014,8,119.32
03/04/2014,9,116.66
03/04/2014,10,116.22
03/04/2014,11,112.64
03/04/2014,12,111.25
03/04/2014,13,103.93
03/04/2014,14,96.95
03/04/2014,15,93.09
03/04/2014,16,87.59
03/04/2014,17,80.81
03/04/2014,18,74.56
03/04/2014,19,87.8
03/04/2014,20,101.47
03/04/2014,21,103.12
03/04/2014,22,95.57
03/04/2014,23,86.48
04/04/2014,0,73.69
04/04/2014,1,72.43
04/04/2014,2,71.38
04/04/2014,3,71.35
04/04/2014,4,68.9
04/04/2014,5,69.03
04/04/2014,6,73.91
04/04/2014,7,77.87
04/04/2014,8,79.98
04/04/2014,9,82.07
