date,hour,value,weekday,working_day
2014/04/01,0,92.75,1,1
2014/04/01,1,86.46,1,1
2014/04/01,2,78.82,1,1
2014/04/01,3,77.47,1,1
2014/04/01,4,76.9,1,1
2014/04/01,5,77.15,1,1
2014/04/01,6,84.6,1,1
2014/04/01,7,87.41,1,1
2014/04/01,8,95.66,1,1
2014/04/01,9,97.81,1,1
2014/04/01,10,100.3,1,1
2014/04/01,11,96.38,1,1
2014/04/01,12,88.96,1,1
2014/04/01,13,91.07,1,1
2014/04/01,14,86.26,1,1
2014/04/01,15,84.13,1,1
2014/04/01,16,78.55,1,1
2014/04/01,17,81.22,1,1
2014/04/01,18,77.78,1,1
2014/04/01,19,84.49,1,1
2014/04/01,20,96.39,1,1
2014/04/01,21,97.28,1,1
2014/04/01,22,87.28,1,1
2014/04/01,23,87.47,1,1
2014/04/02,0,87.09,2,1
2014/04/02,1,81.44,2,1
2014/04/02,2,78.36,2,1
2014/04/02,3,82.98,2,1
2014/04/02,4,80.98,2,1
2014/04/02,5,87.61,2,1
2014/04/02,6,97.07,2,1
2014/04/02,7,100.65,2,1
2014/04/02,8,106.86,2,1
2014/04/02,9,111.9,2,1
2014/04/02,10,111.94,2,1
2014/04/02,11,111.72,2,1
2014/04/02,12,109.4,2,1
2014/04/02,13,105.71,2,1
2014/04/02,14,102.53,2,1
2014/04/02,15,102.72,2,1
2014/04/02,16,102.15,2,1
2014/04/02,17,104.16,2,1
2014/04/02,18,104.8,2,1
2014/04/02,19,108.53,2,1
2014/04/02,20,112.07,2,1
2014/04/02,21,127.73,2,1
2014/04/02,22,119.1,2,1
2014/04/02,23,105.84,2,1
2014/04/03,0,101.08,3,1
2014/04/03,1,97.52,3,1
2014/04/03,2,96.2,3,1
2014/04/03,3,97.08,3,1
2014/04/03,4,92.58,3,1
2014/04/03,5,91.34,3,1
2014/04/03,6,100.09,3,1
2014/04/03,7,109.59,3,1
2014/04/03,8,119.32,3,1
2014/04/03,9,116.66,3,1
2014/04/03,10,116.22,3,1
2014/04/03,11,112.64,3,1
2014/04/03,12,111.25,3,1
2014/04/03,13,103.93,3,1
2014/04/03,14,96.95,3,1
2014/04/03,15,93.09,3,1
2014/04/03,16,87.59,3,1
2014/04/03,17,80.81,3,1
2014/04/03,18,74.56,3,1
2014/04/03,19,87.8,3,1
2014/04/03,20,101.47,3,1
2014/04/03,21,103.12,3,1
2014/04/03,22,95.57,3,1
2014/04/03,23,86.48,3,1
2014/04/04,0,73.69,4,1
2014/04/04,1,72.43,4,1
2014/04/04,2,71.38,4,1
2014/04/04,3,71.35,4,1
2014/04/04,4,68.9,4,1
2014/04/04,5,69.03,4,1
2014/04/04,6,73.91,4,1
2014/04/04,7,77.87,4,1
2014/04/04,8,79.98,4,1
2014/04/04,9,82.07,4,1
2014/04/04,10,75.71,4,1
2014/04/04,11,74.92,4,1
2014/04/04,12,74.6,4,1
2014/04/04,13,75.15,4,1
2014/04/04,14,72.06,4,1
2014/04/04,15,72.3,4,1
2014/04/04,16,71.4,4,1
2014/04/04,17,72.17,4,1
2014/04/04,18,72.7,4,1
2014/04/04,19,74.82,4,1
2014/04/04,20,92.26,4,1
2014/04/04,21,95.45,4,1
2014/04/04,22,86.47,4,1
2014/04/04,23,78.66,4,1
2014/04/05,0,82.95,5,1
2014/04/05,1,84.87,5,1
2014/04/05,2,82.01,5,1
2014/04/05,3,78.81,5,1
2014/04/05,4,78.19,5,1
2014/04/05,5,78.49,5,1
2014/04/05,6,80.33,5,1
2014/04/05,7,84.62,5,1
2014/04/05,8,81.59,5,1
2014/04/05,9,86.24,5,1
2014/04/05,10,89.98,5,1
2014/04/05,11,88.83,5,1
2014/04/05,12,88.31,5,1
2014/04/05,13,88.92,5,1
2014/04/05,14,83.06,5,1
2014/04/05,15,81.12,5,1
2014/04/05,16,76.88,5,1
2014/04/05,17,76.83,5,1
2014/04/05,18,81.19,5,1
2014/04/05,19,90.65,5,1
2014/04/05,20,105.95,5,1
2014/04/05,21,110.6,5,1
2014/04/05,22,108.36,5,1
2014/04/05,23,100.3,5,1
2014/04/06,0,100.18,6,1
2014/04/06,1,97.61,6,1
2014/04/06,2,87.42,6,1
2014/04/06,3,91.26,6,1
2014/04/06,4,89.1,6,1
2014/04/06,5,89.12,6,1
2014/04/06,6,86.46,6,1
2014/04/06,7,86.56,6,1
2014/04/06,8,84.69,6,1
2014/04/06,9,86.06,6,1
2014/04/06,10,90.35,6,1
2014/04/06,11,88.13,6,1
2014/04/06,12,87.09,6,1
2014/04/06,13,86.97,6,1
2014/04/06,14,85.66,6,1
2014/04/06,15,84.15,6,1
2014/04/06,16,80.67,6,1
2014/04/06,17,83.69,6,1
2014/04/06,18,87.68,6,1
2014/04/06,19,93.6,6,1
2014/04/06,20,108.16,6,1
2014/04/06,21,112.54,6,1
2014/04/06,22,112.09,6,1
2014/04/06,23,101.92,6,1
2014/04/07,0,103.5,0,1
2014/04/07,1,93.37,0,1
2014/04/07,2,82.85,0,1
2014/04/07,3,78.66,0,1
2014/04/07,4,76.61,0,1
2014/04/07,5,87.35,0,1
2014/04/07,6,104.62,0,1
2014/04/07,7,106.6,0,1
2014/04/07,8,109.31,0,1
2014/04/07,9,111.66,0,1
2014/04/07,10,108.34,0,1
2014/04/07,11,105.61,0,1
2014/04/07,12,105.06,0,1
2014/04/07,13,104.92,0,1
2014/04/07,14,104.45,0,1
2014/04/07,15,104.56,0,1
2014/04/07,16,104.69,0,1
2014/04/07,17,106.24,0,1
2014/04/07,18,105.3,0,1
2014/04/07,19,106.63,0,1
2014/04/07,20,120.16,0,1
2014/04/07,21,120.63,0,1
2014/04/07,22,110.78,0,1
2014/04/07,23,103.95,0,1
2014/04/08,0,103.59,1,1
2014/04/08,1,100.54,1,1
2014/04/08,2,97.34,1,1
2014/04/08,3,98.74,1,1
2014/04/08,4,95.45,1,1
2014/04/08,5,95.34,1,1
2014/04/08,6,103.41,1,1
2014/04/08,7,110.34,1,1
2014/04/08,8,111.69,1,1
2014/04/08,9,110.96,1,1
2014/04/08,10,111.4,1,1
2014/04/08,11,108.85,1,1
2014/04/08,12,105.96,1,1
2014/04/08,13,105.54,1,1
2014/04/08,14,103.27,1,1
2014/04/08,15,103.07,1,1
2014/04/08,16,102.25,1,1
2014/04/08,17,102.92,1,1
2014/04/08,18,101.5,1,1
2014/04/08,19,104.64,1,1
2014/04/08,20,113.2,1,1
2014/04/08,21,114.29,1,1
2014/04/08,22,103.97,1,1
2014/04/08,23,96.29,1,1
2014/04/09,0,93.69,2,1
2014/04/09,1,83.89,2,1
2014/04/09,2,82.19,2,1
2014/04/09,3,83.22,2,1
2014/04/09,4,82.28,2,1
2014/04/09,5,82.55,2,1
2014/04/09,6,92.87,2,1
2014/04/09,7,99.65,2,1
2014/04/09,8,103.68,2,1
2014/04/09,9,107.26,2,1
2014/04/09,10,107.32,2,1
2014/04/09,11,105.92,2,1
2014/04/09,12,105.71,2,1
2014/04/09,13,106.72,2,1
2014/04/09,14,105.28,2,1
2014/04/09,15,105.45,2,1
2014/04/09,16,104.81,2,1
2014/04/09,17,105.67,2,1
2014/04/09,18,103.56,2,1
2014/04/09,19,103.55,2,1
2014/04/09,20,118.93,2,1
2014/04/09,21,118.71,2,1
2014/04/09,22,106.25,2,1
2014/04/09,23,101.77,2,1
2014/04/10,0,100.73,3,1
2014/04/10,1,97.58,3,1
2014/04/10,2,93.22,3,1
2014/04/10,3,94.43,3,1
2014/04/10,4,94.32,3,1
2014/04/10,5,95.02,3,1
2014/04/10,6,102.12,3,1
2014/04/10,7,102.88,3,1
2014/04/10,8,105.82,3,1
2014/04/10,9,105.69,3,1
2014/04/10,10,102.54,3,1
2014/04/10,11,99.48,3,1
2014/04/10,12,99.46,3,1
2014/04/10,13,99.77,3,1
2014/04/10,14,98.96,3,1
2014/04/10,15,99.86,3,1
2014/04/10,16,99.11,3,1
