date,value,weekday,working_day,is_winter,is_summer
2022-03-01,4134510.0,1,1,1,0
2022-03-02,4181750.0,2,1,1,0
2022-03-03,4226210.0,3,1,1,0
2022-03-04,4204637.0,4,1,1,0
2022-03-05,3722126.0,5,1,1,0
2022-03-06,3497731.0,6,1,1,0
2022-03-07,4173965.0,0,1,1,0
2022-03-08,4181348.0,1,1,1,0
2022-03-09,4132968.0,2,1,1,0
2022-03-10,4103463.0,3,1,1,0
2022-03-11,4137152.0,4,1,1,0
2022-03-12,3640595.0,5,1,1,0
2022-03-13,3371388.0,6,1,1,0
2022-03-14,4133787.0,0,1,1,0
2022-03-15,4136443.0,1,1,1,0
2022-03-16,4139923.0,2,1,1,0
2022-03-17,4083949.0,3,1,1,0
2022-03-18,3996501.0,4,1,1,0
2022-03-19,3531852.0,5,1,1,0
2022-03-20,3349845.0,6,1,1,0
2022-03-21,3942108.0,0,1,0,0
2022-03-22,4035077.0,1,1,0,0
2022-03-23,4067991.0,2,1,0,0
2022-03-24,4108242.0,3,1,0,0
2022-03-25,4031005.0,4,1,0,0
2022-03-26,3609222.0,5,1,0,0
2022-03-27,3161272.0,6,1,0,0
2022-03-28,3854490.0,0,1,0,0
2022-03-29,3962520.0,1,1,0,0
2022-03-30,4007264.0,2,1,0,0
2022-03-31,3868479.0,3,1,0,0
