date,value,weekday,working_day
2014-01-01,3315035.0,2,0
2014-01-02,4059590.0,3,1
2014-01-03,4098986.0,4,1
2014-01-04,3867911.0,5,1
2014-01-05,3648038.0,6,1
2014-01-06,3442398.0,0,0
2014-01-07,4299725.0,1,1
2014-01-08,4402576.0,2,1
2014-01-09,4447836.0,3,1
2014-01-10,4442086.0,4,1
2014-01-11,4010984.0,5,1
2014-01-12,3740962.0,6,1
2014-01-13,4485567.0,0,1
2014-01-14,4584259.0,1,1
2014-01-15,4548468.0,2,1
2014-01-16,4549115.0,3,1
2014-01-17,4521265.0,4,1
2014-01-18,4080297.0,5,1
2014-01-19,3811231.0,6,1
2014-01-20,4560067.0,0,1
2014-01-21,4699045.0,1,1
2014-01-22,4674066.0,2,1
2014-01-23,4601775.0,3,1
2014-01-24,4571282.0,4,1
2014-01-25,4034225.0,5,1
2014-01-26,3690184.0,6,1
2014-01-27,4416503.0,0,1
2014-01-28,4643258.0,1,1
2014-01-29,4609811.0,2,1
2014-01-30,4621804.0,3,1
2014-01-31,4578641.0,4,1
2014-02-01,4105022.0,5,1
2014-02-02,3786945.0,6,1
2014-02-03,4653619.0,0,1
2014-02-04,4734916.0,1,1
2014-02-05,4657366.0,2,1
2014-02-06,4549008.0,3,1
2014-02-07,4518948.0,4,1
2014-02-08,4073421.0,5,1
2014-02-09,3800315.0,6,1
2014-02-10,4511513.0,0,1
2014-02-11,4752804.0,1,1
2014-02-12,4687747.0,2,1
2014-02-13,4541862.0,3,1
2014-02-14,4400761.0,4,1
2014-02-15,3961110.0,5,1
2014-02-16,3708226.0,6,1
2014-02-17,4446137.0,0,1
2014-02-18,4540972.0,1,1
2014-02-19,4473137.0,2,1
2014-02-20,4462116.0,3,1
2014-02-21,4418498.0,4,1
2014-02-22,3954322.0,5,1
2014-02-23,3650877.0,6,1
2014-02-24,4411221.0,0,1
2014-02-25,4521561.0,1,1
2014-02-26,4484611.0,2,1
2014-02-27,4488402.0,3,1
2014-02-28,4393001.0,4,1
2014-03-01,4058273.0,5,1
2014-03-02,3622174.0,6,1
2014-03-03,4335839.0,0,1
2014-03-04,4485233.0,1,1
2014-03-05,4383097.0,2,1
2014-03-06,4300864.0,3,1
2014-03-07,4247044.0,4,1
2014-03-08,3757488.0,5,1
2014-03-09,3449969.0,6,1
2014-03-10,4147556.0,0,1
2014-03-11,4238624.0,1,1
2014-03-12,4239528.0,2,1
2014-03-13,4229423.0,3,1
2014-03-14,4235258.0,4,1
2014-03-15,3760377.0,5,1
2014-03-16,3402561.0,6,1
2014-03-17,4004387.0,0,1
2014-03-18,4078188.0,1,1
2014-03-19,3952064.0,2,1
2014-03-20,4008081.0,3,1
2014-03-21,4034647.0,4,1
2014-03-22,3663843.0,5,1
2014-03-23,3414354.0,6,1
2014-03-24,4167742.0,0,1
2014-03-25,4301669.0,1,1
2014-03-26,4342449.0,2,1
2014-03-27,4189442.0,3,1
2014-03-28,4257135.0,4,1
2014-03-29,3887007.0,5,1
2014-03-30,3387774.0,6,1
2014-03-31,4142656.0,0,1
2014-04-01,4193562.0,1,1
2014-04-02,4226833.0,2,1
2014-04-03,4227452.0,3,1
2014-04-04,4175149.0,4,1
2014-04-05,3702698.0,5,1
2014-04-06,3340909.0,6,1
2014-04-07,3930104.0,0,1
2014-04-08,3990583.0,1,1
2014-04-09,4004157.0,2,1
2014-04-10,3953651.0,3,1
2014-04-11,3984392.0,4,1
2014-04-12,3581024.0,5,1
2014-04-13,3234148.0,6,1
2014-04-14,3805318.0,0,1
2014-04-15,3865555.0,1,1
2014-04-16,3807132.0,2,1
2014-04-17,3365671.0,3,0
2014-04-18,3056935.0,4,0
2014-04-19,3212573.0,5,1
2014-04-20,3052328.0,6,1
2014-04-21,3378984.0,0,1
2014-04-22,3793958.0,1,1
2014-04-23,3787972.0,2,1
2014-04-24,3919721.0,3,1
2014-04-25,3955401.0,4,1
2014-04-26,3600799.0,5,1
2014-04-27,3239089.0,6,1
2014-04-28,3823535.0,0,1
2014-04-29,3917400.0,1,1
2014-04-30,3930210.0,2,1
2014-05-01,3233103.0,3,0
2014-05-02,3492165.0,4,1
2014-05-03,3406516.0,5,1
2014-05-04,3168494.0,6,1
2014-05-05,3820357.0,0,1
2014-05-06,3936280.0,1,1
2014-05-07,3970870.0,2,1
2014-05-08,3975589.0,3,1
2014-05-09,3960450.0,4,1
2014-05-10,3585056.0,5,1
2014-05-11,3310572.0,6,1
2014-05-12,3919757.0,0,1
2014-05-13,4013908.0,1,1
2014-05-14,4015583.0,2,1
2014-05-15,3911724.0,3,1
