date,hour,value
2014-01-01,01,140192.0
2014-01-01,02,130035.0
2014-01-01,03,121152.0
2014-01-01,04,115324.0
2014-01-01,05,113727.0
2014-01-01,06,114132.0
2014-01-01,07,115774.0
2014-01-01,08,115790.0
2014-01-01,09,116690.0
2014-01-01,10,125723.0
2014-01-01,11,133760.0
2014-01-01,12,140143.0
2014-01-01,13,145113.0
2014-01-01,14,147132.0
2014-01-01,15,140669.0
2014-01-01,16,136640.0
2014-01-01,17,140193.0
2014-01-01,18,155904.0
2014-01-01,19,162292.0
2014-01-01,20,167382.0
2014-01-01,21,169880.0
2014-01-01,22,167071.0
2014-01-01,23,154507.0
2014-01-02,00,140904.0
2014-01-02,01,127608.0
2014-01-02,02,116956.0
2014-01-02,03,112376.0
2014-01-02,04,111213.0
2014-01-02,05,115382.0
2014-01-02,06,130186.0
2014-01-02,07,149786.0
2014-01-02,08,167066.0
2014-01-02,09,182857.0
2014-01-02,10,193983.0
2014-01-02,11,197839.0
2014-01-02,12,196853.0
2014-01-02,13,197633.0
2014-01-02,14,192837.0
2014-01-02,15,187289.0
2014-01-02,16,186033.0
2014-01-02,17,190781.0
2014-01-02,18,200552.0
2014-01-02,19,201233.0
2014-01-02,20,200242.0
2014-01-02,21,198306.0
2014-01-02,22,188788.0
2014-01-02,23,172887.0
2014-01-03,00,157899.0
2014-01-03,01,143641.0
2014-01-03,02,136703.0
2014-01-03,03,130161.0
2014-01-03,04,128894.0
2014-01-03,05,130701.0
2014-01-03,06,139956.0
2014-01-03,07,156734.0
2014-01-03,08,172839.0
2014-01-03,09,186073.0
2014-01-03,10,194425.0
2014-01-03,11,194835.0
2014-01-03,12,191109.0
2014-01-03,13,190624.0
2014-01-03,14,184440.0
2014-01-03,15,178187.0
2014-01-03,16,176894.0
2014-01-03,17,179272.0
2014-01-03,18,190185.0
2014-01-03,19,194712.0
2014-01-03,20,194890.0
2014-01-03,21,192076.0
2014-01-03,22,182983.0
2014-01-03,23,170753.0
2014-01-04,00,159111.0
2014-01-04,01,145576.0
2014-01-04,02,136517.0
2014-01-04,03,130536.0
2014-01-04,04,126337.0
2014-01-04,05,125582.0
2014-01-04,06,128517.0
2014-01-04,07,135845.0
2014-01-04,08,143669.0
2014-01-04,09,156739.0
2014-01-04,10,174189.0
2014-01-04,11,176879.0
2014-01-04,12,177849.0
2014-01-04,13,175695.0
2014-01-04,14,176552.0
2014-01-04,15,170152.0
2014-01-04,16,166074.0
2014-01-04,17,166293.0
2014-01-04,18,180546.0
2014-01-04,19,185098.0
2014-01-04,20,188132.0
2014-01-04,21,189632.0
2014-01-04,22,181807.0
2014-01-04,23,170584.0
2014-01-05,00,156979.0
2014-01-05,01,142891.0
2014-01-05,02,132367.0
2014-01-05,03,125786.0
2014-01-05,04,123190.0
2014-01-05,05,123027.0
2014-01-05,06,124607.0
2014-01-05,07,128584.0
2014-01-05,08,131649.0
2014-01-05,09,141979.0
2014-01-05,10,158203.0
2014-01-05,11,165902.0
2014-01-05,12,166806.0
2014-01-05,13,168827.0
2014-01-05,14,168274.0
2014-01-05,15,160482.0
2014-01-05,16,156508.0
2014-01-05,17,154666.0
2014-01-05,18,166672.0
2014-01-05,19,168272.0
2014-01-05,20,170740.0
2014-01-05,21,174694.0
2014-01-05,22,172131.0
2014-01-05,23,164802.0
2014-01-06,00,152196.0
2014-01-06,01,139167.0
2014-01-06,02,127557.0
2014-01-06,03,121905.0
2014-01-06,04,118579.0
2014-01-06,05,118694.0
2014-01-06,06,120632.0
2014-01-06,07,123343.0
2014-01-06,08,124664.0
2014-01-06,09,133046.0
2014-01-06,10,142964.0
2014-01-06,11,148297.0
2014-01-06,12,150793.0
2014-01-06,13,150878.0
2014-01-06,14,148854.0
2014-01-06,15,141511.0
2014-01-06,16,138725.0
2014-01-06,17,142319.0
2014-01-06,18,154545.0
2014-01-06,19,165262.0
2014-01-06,20,170610.0
2014-01-06,21,174925.0
2014-01-06,22,172627.0
2014-01-06,23,160305.0
2014-01-07,00,150238.0
2014-01-07,01,136803.0
2014-01-07,02,129082.0
2014-01-07,03,125050.0
2014-01-07,04,124340.0
2014-01-07,05,128579.0
2014-01-07,06,142816.0
2014-01-07,07,167933.0
2014-01-07,08,188730.0
2014-01-07,09,200324.0
2014-01-07,10,206583.0
2014-01-07,11,206790.0
2014-01-07,12,203686.0
2014-01-07,13,202738.0
2014-01-07,14,195779.0
2014-01-07,15,191202.0
2014-01-07,16,189980.0
2014-01-07,17,193591.0
2014-01-07,18,206569.0
2014-01-07,19,212881.0
2014-01-07,20,214189.0
2014-01-07,21,210099.0
2014-01-07,22,194537.0
2014-01-07,23,177206.0
2014-01-08,00,162541.0
2014-01-08,01,147095.0
2014-01-08,02,138638.0
2014-01-08,03,135409.0
2014-01-08,04,133266.0
2014-01-08,05,137199.0
2014-01-08,06,152042.0
2014-01-08,07,178155.0
2014-01-08,08,199463.0
2014-01-08,09,204698.0
2014-01-08,10,208701.0
2014-01-08,11,207766.0
2014-01-08,12,204606.0
2014-01-08,13,202667.0
2014-01-08,14,194305.0
2014-01-08,15,191103.0
2014-01-08,16,191354.0
2014-01-08,17,192933.0
2014-01-08,18,206842.0
2014-01-08,19,214267.0
2014-01-08,20,214905.0
2014-01-08,21,210905.0
2014-01-08,22,195654.0
2014-01-08,23,178062.0
2014-01-09,00,163303.0
2014-01-09,01,150332.0
2014-01-09,02,141680.0
2014-01-09,03,138782.0
2014-01-09,04,137253.0
2014-01-09,05,140537.0
2014-01-09,06,154238.0
2014-01-09,07,179807.0
2014-01-09,08,200647.0
2014-01-09,09,205598.0
2014-01-09,10,209649.0
2014-01-09,11,208212.0
2014-01-09,12,205443.0
