date,hour,value,weekday,working_day
2014-01-01,1,140192.0,2,0
2014-01-01,2,130035.0,2,0
2014-01-01,3,121152.0,2,0
2014-01-01,4,115324.0,2,0
2014-01-01,5,113727.0,2,0
2014-01-01,6,114132.0,2,0
2014-01-01,7,115774.0,2,0
2014-01-01,8,115790.0,2,0
2014-01-01,9,116690.0,2,0
2014-01-01,10,125723.0,2,0
2014-01-01,11,133760.0,2,0
2014-01-01,12,140143.0,2,0
2014-01-01,13,145113.0,2,0
2014-01-01,14,147132.0,2,0
2014-01-01,15,140669.0,2,0
2014-01-01,16,136640.0,2,0
2014-01-01,17,140193.0,2,0
2014-01-01,18,155904.0,2,0
2014-01-01,19,162292.0,2,0
2014-01-01,20,167382.0,2,0
2014-01-01,21,169880.0,2,0
2014-01-01,22,167071.0,2,0
2014-01-01,23,154507.0,2,0
2014-01-02,0,140904.0,3,1
2014-01-02,1,127608.0,3,1
2014-01-02,2,116956.0,3,1
2014-01-02,3,112376.0,3,1
2014-01-02,4,111213.0,3,1
2014-01-02,5,115382.0,3,1
2014-01-02,6,130186.0,3,1
2014-01-02,7,149786.0,3,1
2014-01-02,8,167066.0,3,1
2014-01-02,9,182857.0,3,1
2014-01-02,10,193983.0,3,1
2014-01-02,11,197839.0,3,1
2014-01-02,12,196853.0,3,1
2014-01-02,13,197633.0,3,1
2014-01-02,14,192837.0,3,1
2014-01-02,15,187289.0,3,1
2014-01-02,16,186033.0,3,1
2014-01-02,17,190781.0,3,1
2014-01-02,18,200552.0,3,1
2014-01-02,19,201233.0,3,1
2014-01-02,20,200242.0,3,1
2014-01-02,21,198306.0,3,1
2014-01-02,22,188788.0,3,1
2014-01-02,23,172887.0,3,1
2014-01-03,0,157899.0,4,1
2014-01-03,1,143641.0,4,1
2014-01-03,2,136703.0,4,1
2014-01-03,3,130161.0,4,1
2014-01-03,4,128894.0,4,1
2014-01-03,5,130701.0,4,1
2014-01-03,6,139956.0,4,1
2014-01-03,7,156734.0,4,1
2014-01-03,8,172839.0,4,1
2014-01-03,9,186073.0,4,1
2014-01-03,10,194425.0,4,1
2014-01-03,11,194835.0,4,1
2014-01-03,12,191109.0,4,1
2014-01-03,13,190624.0,4,1
2014-01-03,14,184440.0,4,1
2014-01-03,15,178187.0,4,1
2014-01-03,16,176894.0,4,1
2014-01-03,17,179272.0,4,1
2014-01-03,18,190185.0,4,1
2014-01-03,19,194712.0,4,1
2014-01-03,20,194890.0,4,1
2014-01-03,21,192076.0,4,1
2014-01-03,22,182983.0,4,1
2014-01-03,23,170753.0,4,1
2014-01-04,0,159111.0,5,1
2014-01-04,1,145576.0,5,1
2014-01-04,2,136517.0,5,1
2014-01-04,3,130536.0,5,1
2014-01-04,4,126337.0,5,1
2014-01-04,5,125582.0,5,1
2014-01-04,6,128517.0,5,1
2014-01-04,7,135845.0,5,1
2014-01-04,8,143669.0,5,1
2014-01-04,9,156739.0,5,1
2014-01-04,10,174189.0,5,1
2014-01-04,11,176879.0,5,1
2014-01-04,12,177849.0,5,1
2014-01-04,13,175695.0,5,1
2014-01-04,14,176552.0,5,1
2014-01-04,15,170152.0,5,1
2014-01-04,16,166074.0,5,1
2014-01-04,17,166293.0,5,1
2014-01-04,18,180546.0,5,1
2014-01-04,19,185098.0,5,1
2014-01-04,20,188132.0,5,1
2014-01-04,21,189632.0,5,1
2014-01-04,22,181807.0,5,1
2014-01-04,23,170584.0,5,1
2014-01-05,0,156979.0,6,1
2014-01-05,1,142891.0,6,1
2014-01-05,2,132367.0,6,1
2014-01-05,3,125786.0,6,1
2014-01-05,4,123190.0,6,1
2014-01-05,5,123027.0,6,1
2014-01-05,6,124607.0,6,1
2014-01-05,7,128584.0,6,1
2014-01-05,8,131649.0,6,1
2014-01-05,9,141979.0,6,1
2014-01-05,10,158203.0,6,1
2014-01-05,11,165902.0,6,1
2014-01-05,12,166806.0,6,1
2014-01-05,13,168827.0,6,1
2014-01-05,14,168274.0,6,1
2014-01-05,15,160482.0,6,1
2014-01-05,16,156508.0,6,1
2014-01-05,17,154666.0,6,1
2014-01-05,18,166672.0,6,1
2014-01-05,19,168272.0,6,1
2014-01-05,20,170740.0,6,1
2014-01-05,21,174694.0,6,1
2014-01-05,22,172131.0,6,1
2014-01-05,23,164802.0,6,1
2014-01-06,0,152196.0,0,0
2014-01-06,1,139167.0,0,0
2014-01-06,2,127557.0,0,0
2014-01-06,3,121905.0,0,0
2014-01-06,4,118579.0,0,0
2014-01-06,5,118694.0,0,0
2014-01-06,6,120632.0,0,0
2014-01-06,7,123343.0,0,0
2014-01-06,8,124664.0,0,0
2014-01-06,9,133046.0,0,0
2014-01-06,10,142964.0,0,0
2014-01-06,11,148297.0,0,0
2014-01-06,12,150793.0,0,0
2014-01-06,13,150878.0,0,0
2014-01-06,14,148854.0,0,0
2014-01-06,15,141511.0,0,0
2014-01-06,16,138725.0,0,0
2014-01-06,17,142319.0,0,0
