date,weekday,working_day,value
2014-01-01,2,0,3315035.0
2014-01-02,3,1,4059590.0
2014-01-03,4,1,4098986.0
2014-01-04,5,1,3867911.0
2014-01-05,6,1,3648038.0
2014-01-06,0,0,3442398.0
2014-01-07,1,1,4299725.0
2014-01-08,2,1,4402576.0
2014-01-09,3,1,4447836.0
2014-01-10,4,1,4442086.0
2014-01-11,5,1,4010984.0
2014-01-12,6,1,3740962.0
2014-01-13,0,1,4485567.0
2014-01-14,1,1,4584259.0
2014-01-15,2,1,4548468.0
2014-01-16,3,1,4549115.0
2014-01-17,4,1,4521265.0
2014-01-18,5,1,4080297.0
2014-01-19,6,1,3811231.0
2014-01-20,0,1,4560067.0
2014-01-21,1,1,4699045.0
2014-01-22,2,1,4674066.0
2014-01-23,3,1,4601775.0
2014-01-24,4,1,4571282.0
2014-01-25,5,1,4034225.0
2014-01-26,6,1,3690184.0
2014-01-27,0,1,4416503.0
2014-01-28,1,1,4643258.0
2014-01-29,2,1,4609811.0
2014-01-30,3,1,4621804.0
2014-01-31,4,1,4578641.0
2014-02-01,5,1,4105022.0
2014-02-02,6,1,3786945.0
2014-02-03,0,1,4653619.0
2014-02-04,1,1,4734916.0
2014-02-05,2,1,4657366.0
2014-02-06,3,1,4549008.0
2014-02-07,4,1,4518948.0
2014-02-08,5,1,4073421.0
2014-02-09,6,1,3800315.0
2014-02-10,0,1,4511513.0
2014-02-11,1,1,4752804.0
2014-02-12,2,1,4687747.0
2014-02-13,3,1,4541862.0
2014-02-14,4,1,4400761.0
2014-02-15,5,1,3961110.0
2014-02-16,6,1,3708226.0
2014-02-17,0,1,4446137.0
2014-02-18,1,1,4540972.0
2014-02-19,2,1,4473137.0
2014-02-20,3,1,4462116.0
2014-02-21,4,1,4418498.0
2014-02-22,5,1,3954322.0
2014-02-23,6,1,3650877.0
2014-02-24,0,1,4411221.0
2014-02-25,1,1,4521561.0
2014-02-26,2,1,4484611.0
2014-02-27,3,1,4488402.0
2014-02-28,4,1,4393001.0
2014-03-01,5,1,4058273.0
2014-03-02,6,1,3622174.0
2014-03-03,0,1,4335839.0
2014-03-04,1,1,4485233.0
2014-03-05,2,1,4383097.0
2014-03-06,3,1,4300864.0
2014-03-07,4,1,4247044.0
2014-03-08,5,1,3757488.0
2014-03-09,6,1,3449969.0
2014-03-10,0,1,4147556.0
2014-03-11,1,1,4238624.0
2014-03-12,2,1,4239528.0
2014-03-13,3,1,4229423.0
2014-03-14,4,1,4235258.0
2014-03-15,5,1,3760377.0
2014-03-16,6,1,3402561.0
2014-03-17,0,1,4004387.0
2014-03-18,1,1,4078188.0
2014-03-19,2,1,3952064.0
2014-03-20,3,1,4008081.0
2014-03-21,4,1,4034647.0
2014-03-22,5,1,3663843.0
2014-03-23,6,1,3414354.0
2014-03-24,0,1,4167742.0
2014-03-25,1,1,4301669.0
2014-03-26,2,1,4342449.0
2014-03-27,3,1,4189442.0
2014-03-28,4,1,4257135.0
2014-03-29,5,1,3887007.0
2014-03-30,6,1,3387774.0
2014-03-31,0,1,4142656.0
2014-04-01,1,1,4193562.0
2014-04-02,2,1,4226833.0
2014-04-03,3,1,4227452.0
2014-04-04,4,1,4175149.0
2014-04-05,5,1,3702698.0
2014-04-06,6,1,3340909.0
2014-04-07,0,1,3930104.0
2014-04-08,1,1,3990583.0
2014-04-09,2,1,4004157.0
2014-04-10,3,1,3953651.0
2014-04-11,4,1,3984392.0
2014-04-12,5,1,3581024.0
2014-04-13,6,1,3234148.0
2014-04-14,0,1,3805318.0
2014-04-15,1,1,3865555.0
2014-04-16,2,1,3807132.0
2014-04-17,3,0,3365671.0
2014-04-18,4,0,3056935.0
2014-04-19,5,1,3212573.0
2014-04-20,6,1,3052328.0
2014-04-21,0,1,3378984.0
2014-04-22,1,1,3793958.0
2014-04-23,2,1,3787972.0
2014-04-24,3,1,3919721.0
2014-04-25,4,1,3955401.0
2014-04-26,5,1,3600799.0
2014-04-27,6,1,3239089.0
2014-04-28,0,1,3823535.0
2014-04-29,1,1,3917400.0
2014-04-30,2,1,3930210.0
2014-05-01,3,0,3233103.0
2014-05-02,4,1,3492165.0
2014-05-03,5,1,3406516.0
2014-05-04,6,1,3168494.0
2014-05-05,0,1,3820357.0
2014-05-06,1,1,3936280.0
2014-05-07,2,1,3970870.0
2014-05-08,3,1,3975589.0
2014-05-09,4,1,3960450.0
2014-05-10,5,1,3585056.0
2014-05-11,6,1,3310572.0
2014-05-12,0,1,3919757.0
2014-05-13,1,1,4013908.0
2014-05-14,2,1,4015583.0
2014-05-15,3,1,3911724.0
2014-05-16,4,1,3920765.0
2014-05-17,5,1,3501523.0
2014-05-18,6,1,3205597.0
2014-05-19,0,1,3863368.0
2014-05-20,1,1,3969817.0
2014-05-21,2,1,3998970.0
2014-05-22,3,1,3963873.0
2014-05-23,4,1,3940095.0
2014-05-24,5,1,3537683.0
2014-05-25,6,1,3192361.0
2014-05-26,0,1,3844326.0
2014-05-27,1,1,3950383.0
2014-05-28,2,1,4000789.0
2014-05-29,3,1,3982707.0
2014-05-30,4,1,3926570.0
2014-05-31,5,1,3516159.0
2014-06-01,6,1,3208049.0
2014-06-02,0,1,3828613.0
2014-06-03,1,1,3979262.0
2014-06-04,2,1,4017381.0
2014-06-05,3,1,4029775.0
2014-06-06,4,1,4080996.0
2014-06-07,5,1,3664104.0
2014-06-08,6,1,3337447.0
2014-06-09,0,1,3911835.0
2014-06-10,1,1,4086129.0
2014-06-11,2,1,4162633.0
2014-06-12,3,1,4240654.0
2014-06-13,4,1,4290242.0
2014-06-14,5,1,3868124.0
2014-06-15,6,1,3459843.0
2014-06-16,0,1,4061172.0
2014-06-17,1,1,4161128.0
2014-06-18,2,1,4153444.0
2014-06-19,3,0,4047863.0
2014-06-20,4,1,4107634.0
2014-06-21,5,1,3738249.0
2014-06-22,6,1,3407618.0
2014-06-23,0,1,3968870.0
2014-06-24,1,1,3817867.0
2014-06-25,2,1,4009536.0
2014-06-26,3,1,4102051.0
2014-06-27,4,1,4140122.0
