date,hour,weekday,working_day,value
2014-01-01,1,2,0,140192.0
2014-01-01,2,2,0,130035.0
2014-01-01,3,2,0,121152.0
2014-01-01,4,2,0,115324.0
2014-01-01,5,2,0,113727.0
2014-01-01,6,2,0,114132.0
2014-01-01,7,2,0,115774.0
2014-01-01,8,2,0,115790.0
2014-01-01,9,2,0,116690.0
2014-01-01,10,2,0,125723.0
2014-01-01,11,2,0,133760.0
2014-01-01,12,2,0,140143.0
2014-01-01,13,2,0,145113.0
2014-01-01,14,2,0,147132.0
2014-01-01,15,2,0,140669.0
2014-01-01,16,2,0,136640.0
2014-01-01,17,2,0,140193.0
2014-01-01,18,2,0,155904.0
2014-01-01,19,2,0,162292.0
2014-01-01,20,2,0,167382.0
2014-01-01,21,2,0,169880.0
2014-01-01,22,2,0,167071.0
2014-01-01,23,2,0,154507.0
2014-01-02,0,3,1,140904.0
2014-01-02,1,3,1,127608.0
2014-01-02,2,3,1,116956.0
2014-01-02,3,3,1,112376.0
2014-01-02,4,3,1,111213.0
2014-01-02,5,3,1,115382.0
2014-01-02,6,3,1,130186.0
2014-01-02,7,3,1,149786.0
2014-01-02,8,3,1,167066.0
2014-01-02,9,3,1,182857.0
2014-01-02,10,3,1,193983.0
2014-01-02,11,3,1,197839.0
2014-01-02,12,3,1,196853.0
2014-01-02,13,3,1,197633.0
2014-01-02,14,3,1,192837.0
2014-01-02,15,3,1,187289.0
2014-01-02,16,3,1,186033.0
2014-01-02,17,3,1,190781.0
2014-01-02,18,3,1,200552.0
2014-01-02,19,3,1,201233.0
2014-01-02,20,3,1,200242.0
2014-01-02,21,3,1,198306.0
2014-01-02,22,3,1,188788.0
2014-01-02,23,3,1,172887.0
2014-01-03,0,4,1,157899.0
2014-01-03,1,4,1,143641.0
2014-01-03,2,4,1,136703.0
2014-01-03,3,4,1,130161.0
2014-01-03,4,4,1,128894.0
2014-01-03,5,4,1,130701.0
2014-01-03,6,4,1,139956.0
2014-01-03,7,4,1,156734.0
2014-01-03,8,4,1,172839.0
2014-01-03,9,4,1,186073.0
2014-01-03,10,4,1,194425.0
2014-01-03,11,4,1,194835.0
2014-01-03,12,4,1,191109.0
2014-01-03,13,4,1,190624.0
2014-01-03,14,4,1,184440.0
2014-01-03,15,4,1,178187.0
2014-01-03,16,4,1,176894.0
2014-01-03,17,4,1,179272.0
2014-01-03,18,4,1,190185.0
2014-01-03,19,4,1,194712.0
2014-01-03,20,4,1,194890.0
2014-01-03,21,4,1,192076.0
2014-01-03,22,4,1,182983.0
2014-01-03,23,4,1,170753.0
2014-01-04,0,5,1,159111.0
2014-01-04,1,5,1,145576.0
2014-01-04,2,5,1,136517.0
2014-01-04,3,5,1,130536.0
2014-01-04,4,5,1,126337.0
2014-01-04,5,5,1,125582.0
2014-01-04,6,5,1,128517.0
2014-01-04,7,5,1,135845.0
2014-01-04,8,5,1,143669.0
2014-01-04,9,5,1,156739.0
2014-01-04,10,5,1,174189.0
2014-01-04,11,5,1,176879.0
2014-01-04,12,5,1,177849.0
2014-01-04,13,5,1,175695.0
2014-01-04,14,5,1,176552.0
2014-01-04,15,5,1,170152.0
2014-01-04,16,5,1,166074.0
2014-01-04,17,5,1,166293.0
2014-01-04,18,5,1,180546.0
2014-01-04,19,5,1,185098.0
2014-01-04,20,5,1,188132.0
2014-01-04,21,5,1,189632.0
2014-01-04,22,5,1,181807.0
2014-01-04,23,5,1,170584.0
2014-01-05,0,6,1,156979.0
2014-01-05,1,6,1,142891.0
2014-01-05,2,6,1,132367.0
2014-01-05,3,6,1,125786.0
2014-01-05,4,6,1,123190.0
2014-01-05,5,6,1,123027.0
2014-01-05,6,6,1,124607.0
2014-01-05,7,6,1,128584.0
2014-01-05,8,6,1,131649.0
2014-01-05,9,6,1,141979.0
2014-01-05,10,6,1,158203.0
2014-01-05,11,6,1,165902.0
2014-01-05,12,6,1,166806.0
2014-01-05,13,6,1,168827.0
2014-01-05,14,6,1,168274.0
2014-01-05,15,6,1,160482.0
2014-01-05,16,6,1,156508.0
2014-01-05,17,6,1,154666.0
2014-01-05,18,6,1,166672.0
2014-01-05,19,6,1,168272.0
2014-01-05,20,6,1,170740.0
2014-01-05,21,6,1,174694.0
2014-01-05,22,6,1,172131.0
2014-01-05,23,6,1,164802.0
2014-01-06,0,0,0,152196.0
2014-01-06,1,0,0,139167.0
2014-01-06,2,0,0,127557.0
2014-01-06,3,0,0,121905.0
