"[p,q,P,Q]",AIC
"[3, 3, 3, 3]",1365587.6305644668
"[3, 3, 2, 3]",1368231.5406968612
"[3, 3, 3, 2]",1368401.14236602
"[2, 3, 3, 2]",1374093.4814873703
"[3, 2, 3, 3]",1374328.7222625169
"[2, 2, 3, 1]",1374863.2817543657
"[3, 2, 3, 2]",1374927.29247621
"[2, 3, 2, 3]",1375055.7066317047
"[3, 3, 1, 1]",1375087.7132555535
"[2, 3, 3, 3]",1375343.0946010344
"[3, 3, 2, 0]",1375533.8919572802
"[3, 1, 3, 1]",1375772.354208242
"[3, 3, 1, 0]",1375875.6265580272
"[2, 2, 1, 1]",1375942.706201602
"[1, 3, 3, 3]",1375951.164276184
"[3, 3, 0, 0]",1376148.6164343434
"[3, 3, 0, 3]",1376206.619718138
"[2, 2, 3, 3]",1376256.7932547329
"[3, 2, 2, 3]",1376735.8497724957
"[3, 2, 2, 2]",1376758.2750143758
"[3, 1, 3, 3]",1376937.211129153
"[2, 2, 3, 2]",1376940.1738200956
"[3, 3, 0, 1]",1376985.3332179657
"[3, 3, 0, 2]",1377081.3425867527
"[1, 0, 3, 3]",1377176.839361315
"[2, 3, 0, 1]",1377297.1825082905
"[2, 1, 3, 3]",1377358.3290503162
"[1, 3, 3, 2]",1377608.12131281
"[2, 2, 2, 3]",1377646.552342895
"[3, 0, 3, 3]",1377783.0422912186
"[2, 3, 0, 0]",1378029.371841144
"[3, 3, 2, 2]",1378060.457097818
"[2, 0, 3, 3]",1378135.4303888534
"[3, 0, 2, 3]",1378157.351473726
"[3, 0, 3, 2]",1378190.5205090365
"[3, 1, 2, 3]",1378210.4782569285
"[3, 1, 3, 2]",1378231.5077065423
"[3, 1, 2, 1]",1378351.3793255035
"[1, 2, 3, 3]",1378368.5287552064
"[1, 1, 3, 3]",1378402.5144791054
"[3, 1, 3, 0]",1378419.6728581605
"[1, 2, 3, 2]",1378437.2469522485
"[2, 1, 3, 2]",1378642.1945580668
"[1, 1, 3, 2]",1378736.5235176496
"[2, 3, 1, 0]",1378741.2776994607
"[2, 0, 3, 2]",1378755.1834167044
"[3, 2, 1, 0]",1378825.819854415
"[2, 1, 2, 3]",1378873.2992131328
"[3, 0, 3, 1]",1378922.7867577013
"[3, 1, 0, 2]",1378979.264761734
"[1, 2, 2, 3]",1378991.5286279807
"[2, 2, 2, 2]",1379004.3361295108
"[2, 0, 2, 3]",1379048.5940947686
"[1, 1, 2, 3]",1379054.3933761036
"[1, 0, 3, 2]",1379123.561845248
"[3, 2, 0, 0]",1379137.5949879517
"[3, 1, 0, 1]",1379137.8994230106
"[2, 0, 3, 1]",1379409.687468301
"[3, 0, 2, 2]",1379471.2879094935
"[1, 0, 2, 3]",1379508.1075486832
"[1, 3, 2, 3]",1379508.9158151157
"[2, 1, 2, 1]",1379600.4802426123
"[1, 1, 1, 3]",1379613.5905208103
"[2, 1, 1, 2]",1379757.2241095146
"[2, 1, 1, 1]",1379862.9184158188
"[2, 1, 0, 0]",1379876.883000649
"[3, 2, 0, 2]",1379882.1943701315
"[3, 0, 0, 0]",1380153.7075807974
"[2, 1, 1, 0]",1380334.3354806127
"[2, 0, 1, 0]",1380409.591668536
"[2, 0, 0, 1]",1380417.4733435218
"[2, 0, 0, 0]",1380419.829645365
"[2, 0, 1, 3]",1380573.479221861
"[3, 1, 1, 2]",1380665.181015625
"[3, 0, 1, 2]",1380831.4198812624
"[3, 0, 1, 3]",1380952.9739774517
"[3, 1, 2, 2]",1381022.3123563037
"[1, 1, 2, 2]",1381069.892186721
"[2, 1, 2, 2]",1381072.1776206547
"[1, 0, 2, 2]",1381258.8761862044
"[2, 0, 2, 2]",1381327.1828843027
"[2, 2, 3, 0]",1381505.6100957356
"[2, 1, 3, 0]",1381511.111613355
"[1, 2, 2, 2]",1381514.5535557054
"[1, 1, 1, 0]",1381651.547721529
"[3, 0, 1, 1]",1381750.5051596384
"[1, 3, 2, 2]",1381797.9436901854
"[2, 0, 1, 1]",1381852.8086680265
"[2, 2, 2, 1]",1381859.8903042318
"[3, 1, 1, 1]",1381868.7422961015
"[2, 2, 0, 2]",1381916.0733443135
"[2, 2, 0, 3]",1382018.9434371588
"[1, 2, 1, 2]",1382088.8504958278
"[1, 0, 1, 3]",1382130.3021604454
"[2, 2, 1, 2]",1382309.1689712403
"[1, 3, 1, 1]",1382383.3431591578
"[3, 1, 0, 3]",1382435.6710211127
"[1, 2, 1, 1]",1382476.144274029
"[3, 1, 2, 0]",1382573.497836685
"[2, 3, 1, 3]",1382663.7155808588
"[1, 1, 2, 1]",1382706.636506529
"[2, 3, 0, 2]",1382752.707709259
"[1, 1, 1, 1]",1382800.6240419722
"[1, 3, 3, 1]",1382846.3810807748
"[0, 3, 3, 3]",1382996.3961737338
"[1, 3, 3, 0]",1383149.2516573097
"[1, 2, 3, 1]",1383211.8425303432
"[0, 3, 2, 2]",1383246.4317428963
"[3, 0, 3, 0]",1383292.6903020183
"[1, 1, 3, 1]",1383306.4397094122
"[3, 0, 2, 1]",1383307.1076883604
"[1, 0, 3, 1]",1383314.1208664966
"[3, 1, 1, 0]",1383315.7244473118
"[1, 3, 2, 1]",1383321.8314174353
"[2, 0, 3, 0]",1383349.285434974
"[2, 0, 2, 1]",1383407.6245722224
"[3, 0, 0, 3]",1383420.8961143014
"[0, 3, 3, 2]",1383431.2264295844
"[3, 1, 0, 0]",1383455.8946908277
"[1, 2, 3, 0]",1383465.523968398
"[2, 2, 2, 0]",1383470.6404767702
"[3, 0, 0, 2]",1383502.9079740704
"[2, 0, 0, 3]",1383557.9926800064
"[1, 1, 3, 0]",1383586.6696845964
"[3, 0, 2, 0]",1383586.9569239016
"[2, 0, 1, 2]",1383610.5200473724
"[1, 2, 2, 1]",1383611.3264446042
"[0, 3, 2, 3]",1383631.5723402582
"[2, 0, 0, 2]",1383706.7299173945
"[2, 0, 2, 0]",1383750.3496981186
"[0, 2, 3, 3]",1383782.4096125509
"[3, 3, 2, 1]",1383784.8422342478
"[1, 2, 0, 3]",1383845.4876891903
"[2, 1, 0, 1]",1383955.4248428144
"[1, 2, 2, 0]",1384070.6729598728
"[3, 0, 0, 1]",1384082.7375977405
"[1, 1, 0, 3]",1384084.3138030632
"[3, 0, 1, 0]",1384086.4994497912
"[1, 2, 0, 2]",1384125.665122158
"[1, 3, 2, 0]",1384179.3862572946
"[1, 3, 0, 2]",1384194.6199116714
"[0, 2, 3, 2]",1384202.245416555
"[2, 1, 0, 3]",1384212.737558544
"[1, 1, 1, 2]",1384227.2256405335
"[2, 2, 0, 1]",1384328.2535712742
